Est. #,Project Name,Project Description,Street Address,City,State,Local,SQ. FT.,Project Type,Bid Type,Design Type,Estimator,DEPT,Div.,Bid Date, Base Bid , Cost SF ,Alt. #1,Alt #2,Alt. #3,Alt #4,Alt. #5,Alt #6,Overhead,Profit,MU $ Bid,Bid Status,Probability,Projection,Start Date,Comp. Date,Award Date,Job #,Contract $,MU $ Contract,GC Awarded,GC Awarded Est./PM.,GC #1,GC #1 Est./PM.,GC #2,GC #2 Est./PM.,GC #3,GC #3 Est./PM.,GC #4,GC #4 Est./PM.,GC #5,GC #5 Est./PM.,EC #1, EC #1 $ ,EC #2, EC #2 $ ,EC #3, EC #3 $ ,EC #4, EC #4 $ ,EC #5, EC #5 $ ,EC #6, EC #6 $ ,Bid Results Comments
16-001,Hoag West Tower 9th Floor Med Rm,Med Room Remodel,1 Hospital Road,Newport Beach,CA, 441 OC ,, Hospital , Competitive , Engineered , Steve  , Est. , CA ,9/2/2015," $13,591 ",,,,,,,,,,,Pending,10%," $1,359 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-002,AAA UPS Replacment B1 1st Floor Telco Room,UPS Upgrade,3333 Fairview Road,Costa Mesa,CA, 441 OC , - , TI , Competitive , Engineered , Frank , Est. , CA ,9/3/2015," $67,280 ",,,,,,,,,,,Lost,0%, $- ,,,,,,,AAA,Mark Hannah,,,,,,,,,,,,,,,,,,,,,,,
16-003,Bixby Jeronimo,Tenant Improvement,9950 Jeronimo Road,Irvine,CA, 441 OC ,, TI , Competitive , Engineered , Frank , Est. , CA ,9/3/2015,0,,,,,,,,,,,Not Bid,0%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-004,Impres Hair Salon,Tenant Improvement,3617 Ocean Ranch Blvd,Oceanside,CA, 441 OC ," 2,600 ", TI , Budget , Engineered , Doyle , S.P. , CA ,9/3/2015," $115,070 ",," $(25,000)",,,,,,,,,Not Built,2%, $- ,,,,,,,,,HBC,Jim Blackamore,,,,,,,,,,,,,,,,,,,,,
16-005,Huntington Memorial Hospital Phase I Master Plan ,OSHPD Upgrade,,Pasadena,CA, 11 LA ,, Hospital , Budget , Engineered , Frank , Est. , CA ,9/3/2015,0,,,,,,,,,,,Not Bid,0%, $- ,,,,,,,,,Tiller Construction,K. Evert,,,,,,,,,,,,,,,,,,,,,
16-006,Epson Carson New Circuit to Gate,New circuit to new gate,1650 Glenn Curtiss,Carson,CA, 441 OC ,, Site , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/3/2015," $1,000 ",,,,,,,,,,,Pending,2%, $20 ,,,,,,,,,Epson,Vincent Lam,,,,,,,,,,,,,,,,,,,,,
16-007,Operating Trust LED retrofit phase 2,Replace 22 fixtures with Cust furn,2100 S Pellissier Place,Whittier,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/3/2015," $7,920 ",,,,,,,,,,,Pending,2%, $158 ,,,,,,,,,,Bryan Crowe,,,,,,,,,,,,,,,,,,,,,
16-008,"Los Olivos Market Place Vanilla Box Improv. 8561, 8565, & 8599",Vanilla Tenant Improvement,,Irvine,CA, 441 OC ,, TI , Competitive , Engineered , Jeff P. , Est. , CA ,9/11/2015," $233,380 ",,,,,,,,,,,Awarded,100%, $- ,,,,,,,,,Cuesta Construction,David Clark,,,,,,,,,,,,,,,,,,,,,
16-009,Void,,,,,,,,,,,,,,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-010,Pimco- 7-8 & 17-18,Tenant Improvement,650 Newport Center,Newport Beach,CA, 441 OC ,, TI , Select Bid List , Engineered , Jeff S , P.M. , CA ,9/16/2015," $148,645 ",,,,,,,,,,,Awarded,100%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
