Est. #,Project Name,Project Description,Street Address,City,State,Local,SQ. FT.,Project Type,Bid Type,Design Type,Estimator,DEPT,Div.,Bid Date, Base Bid , Cost SF ,Alt. #1,Alt #2,Alt. #3,Alt #4,Alt. #5,Alt #6,Overhead,Profit,MU $ Bid,Bid Status,Probability,Projection,Start Date,Comp. Date,Award Date,Job #,Contract $,MU $ Contract,GC Awarded,GC Awarded Est./PM.,GC #1,GC #1 Est./PM.,GC #2,GC #2 Est./PM.,GC #3,GC #3 Est./PM.,GC #4,GC #4 Est./PM.,GC #5,GC #5 Est./PM.,EC #1, EC #1 $ ,EC #2, EC #2 $ ,EC #3, EC #3 $ ,EC #4, EC #4 $ ,EC #5, EC #5 $ ,EC #6, EC #6 $ ,Bid Results Comments
17-001,Block 800,Retail New Additons and Remode,ISC,Irvine,CA, 441 OC ,, Comercial , Select Bid List , Engineered , Steve  , Est. , CA ,9/16/2016," $2,037,838 ",,,,,,,,,,,Awarded,, $- ,,,,,,,Cuesta Construction,Mike P,,,,,,,,,,,,,,,,,,,,,,,
17-002,Hoag Tustin  MOB,Shell & Core,15000 Kensington Park Drive,Tustin,CA, 441 OC ," 60,000 ", Shell , Select Bid List , Engineered , Brian , Est. , CA ,8/20/2016," $294,791 ", $4.91 ," $31,178 ",,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-003,HHNB CT SCANNER REPLACEMENT,Hospital ,One Hoag Drive,Newport Beach,CA, 441 OC ,, Hospital , Select Bid List , Engineered , Bill  , P.M. , CA ,9/26/2016," $131,950 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-004,AAA Costa Mesa GFCI Main Test,Test Main GFCI,3333 Fairview Road,Costa Mesa,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/4/2016," $4,940 ", $- ," $3,875 ",,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-005,HHNB IR Single Plane Replacement,Hospital ,One Hoag Drive ,Newport Beach,CA, 441 OC , 829 , Hospital , Select Bid List , Engineered , Steve  , Est. , CA ,9/29/2016," $91,940 ", $110.90 ,,,,,,,,,,Awarded,30%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-006,Fountain Valley Hospital Genset Rental Womens pavillion,Temp genset rental,17100 Euclid St.,Fountain Valley,CA, 441 OC ,, Hospital , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/7/2016," $7,400 ",," $9,300 "," $3,480 ",,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-007,The Point Title 24 Acceptance testing,Title 24 Acceptance testing,840 S. Sepulveda Blvd,El Segundo ,CA, 441 OC ,, TI , Select Bid List , Engineered , Doyle , S.P. , CA ,9/7/2016, $950 ,,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-008,Larchmont Village Title 24 Acceptance testing,Title 24 Acceptance testing,158 N. Larchmont Blvd,Los Angeles,CA, 441 OC ,, TI , Select Bid List , Engineered , Doyle , S.P. , CA ,9/7/2016, $750 ,,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-009,Newport Lido Dr. Hung 6 light fixtures,R&R six hanging fixtures,361 Hospital Rd,Newport Beach,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/7/2016," $9,000 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-010,Blizzard Distribution modification budget,Budget to change panels or add transf.,8 Pasteur,Irvine,CA, 441 OC ,, TI , Budget , Design/ Assist , Doyle , S.P. , CA ,9/9/2016," $9,000 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-011,Epson Carson add 10 new charger units,Add 10 new warehouse chargers,1450 Glenn Curtiss,Carson,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/9/2016," $9,623 ", $- ," $1,450 ",,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-012,Hotel Irvine new underground for parking controls,"Add new 2"" underground raceway",17900 Jamboree,Irvine,CA, 441 OC ,, Site , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/9/2016," $16,275 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-013,Calvary Chapel New AC unit,New AC unit and FC units,1011 N. Harbor Blvd,Anaheim,CA, 441 OC ,, TI , Select Bid List , Engineered , Doyle , S.P. , CA ,9/23/2016," $6,000 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-014,Teamsters Local outside lighting work,Add and service outside lighting,140 S. Marks Way,Orange,CA, 441 OC ,, Site , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/9/2016," $6,895 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-015,Blizzard B3 F2 Demolition,Demo,16205 Alton Parkway,Irvine,CA, 441 OC ,, TI , Select Bid List , Engineered , Brian , Est. , CA ,9/15/2016," $11,274 ",,,,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-016,Experian Briefing Center Budget,Tenant Improvement,475 Anton Blvd,Costa Mesa,CA, 441 OC ,, TI , Budget , Engineered , Brian , Est. , CA ,9/21/2016," $120,248 ",,,,,,,,,,,Unknown,, $- ,4/1/2017,6/1/2017,,,,,,,Turelk,Matejcek ,,,,,,,,,,,,,,,,,,,,,
17-017,Dr. Lee Carter new treadmill outlet at Lido,New outlet for treadmill,351 Hospital Rd suite 202,Newport Beach,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/12/2016," $1,335 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-018,Gibson Dunn and Crutcher TI,"TI for 11, 12 and 14th floors",3161 Michaelson Dr,Irvine,CA, 441 OC ,, TI , Select Bid List , Engineered , Doyle , S.P. , CA ,9/23/2016," $153,455 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-019,TWC power to AC unit,Power to AC unit,11935 Valley View,Garden Grove,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/15/2016," $1,800 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-020,Ladera Sports Center power relocation,Move power and data connection,10 Terrace Rd,Ladera Ranch,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/15/2016, $988 ,,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-021,Burke Aston Avenue Office Building,Shell & Core,1800 Aston Avenue,Carlsbad,CA, 441 OC ," 47,799 ", Shell , Select Bid List , Engineered , Steve  , Est. , CA ,9/24/2016," $317,857 ", $6.65 ,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-022,College Hospital new circuits for Cullinary area,New circuits for cullinary area,301 Victoria,Costa Mesa,CA, 441 OC ,, Hospital , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/16/2016," $2,065 ", $- , $900 ,,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-023,College Hospital MOB new panel and circuits to lounge,New panel and circuits for Lounge,275 Victoria,Costa Mesa,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/16/2016," $2,442 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-024,MVMC MOB & PS DB Project,New Construction,,Misson Viejo,CA, 441 OC ," 105,000 ", Shell , Competitive , Design/Build , Frank , Est. , CA ,9/22/2016," $268,939 ", $2.56 ,,,,,,,,,,Awarded,100%, $- ,,,,,,,Snyder Langston,Lee Watkins,,,,,,,,,,,,,,,,,,,,,,,
17-025,Kiimco new sensors for offices,New sensor control for offices,17872 Cowan Ave,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/20/2016," $15,000 ",,,,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-026,Good Shephard Lutheran circuit for outlet,New circuit for Green room infant,4800 Irvine Center Dr,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/21/2016, $975 ,,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-027,Blizzard B5 Q&A,Tenant Improvement,16241 Laguna Canyon Rd,Irvine,CA, 441 OC ," 6,160 ", TI , Select Bid List , Engineered , Steve  , Est. , CA ,9/29/2016," $73,764 ", $11.97 ,,,,,,,,,,Awarded,, $- ,,,,,,,HBC,Tom Listerud,,,,,,,,,,,,,,,,,,,,,,,
17-028,Moreno Valley Gateway Budget,Tenant Improvement,14325 + 14327 Fredrick,Moreno Valley,CA, 477 SB ,, TI , Budget , Design/Build , Brian , Est. , CA ,9/29/2016," $353,157 ",,,,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-029,Carrington new outlets,New outlets and dedicated circuit,15 Enterprise,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/26/2016," $1,700 ",,,,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-030,AAA Whitier Temp Genset connect,Connect temp genset,16041 Whitier Blvd,Whitier,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/26/2016," $3,000 ",,,,,,,,,,,Not Built,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-031,Charter Office furniture connect Long Beach,Office furniture connect,5000 S. Spring St,Long Beach,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,, $- ,,,,,,,,,,,Not Bid,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-032,"Blizzard B1 RR, Lobby, and Boardroom Remodel",Tenant Improvement,16215 Alton Pkwy,Irvine,CA, 441 OC ,, TI , Budget , Design/Build , Frank , Est. , CA ,9/30/2016," $55,647 ",,,,,,,,,,,Awarded,100%, $- ,,,,,,,HBC,Tom Listerud,,,,,,,,,,,,,,,,,,,,,,,
17-033,1500 Douglas Suite 100 & 110,Tenant Improvement,1500 Douglas,Anaheim,CA, 441 OC ," 60,000 ", TI , Budget , Engineered , Steve  , Est. , CA ,8/7/2016," $1,232,846 ", $20.55 ,,,,,,,,,,Lost,, $- ,,,,,,,Pacific Construction Group,Shane Dixon,Pacific Construction Group,Shane Dixon,,,,,,,,,,,,,,,,,,,,,
17-034,Blizzard B3 Integrated Management ,Tenant Improvement,16205 Alton Parkway,Irvine,CA, 441 OC ," 28,399 ", TI , Negotiated , Engineered , Frank , Est. , CA ,10/18/2016," $538,481 ", $18.96 ," $25,260 ",,,,,,,,,Awarded,100%, $- ,,,,,,,HBC,Tom Listerud,,,,,,,,,,,,,,,,,,,,,,,
17-035,B-Braun PAB 6 Installation,Tenant Improvement,2525 McGaw Ave,Irvine,CA, 441 OC ,, TI , Budget , Engineered , Brian , Est. , CA ,10/7/2016," $517,505 ",,,,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-036,HHNB HR OPTIMIZATION,Tenant Improvement,1 Hoag Drive,Newport Beach,CA, 441 OC ,, Hospital , Select Bid List , Engineered , Bill  , P.M. , CA ,10/5/2016," $17,801 ",,,,,,,,,,,Awarded,, $- ,,,,,,,HB&A,,,,,,,,,,,,,,,,,,,,,,,,
