Est. #,Project Name,Project Description,Street Address,City,State,Local,SQ. FT.,Project Type,Bid Type,Design Type,Estimator,DEPT,Div.,Bid Date, Base Bid ,Alt. #1,Alt #2,Alt. #3,Alt #4,Alt. #5,Alt #6,Overhead,Profit,MU $ Bid,Bid Status,Probability,Projection,Start Date,Comp. Date,Award Date,Job #,Contract $,MU $ Contract,GC Awarded,GC Awarded Est./PM.,GC #1,GC #1 Est./PM.,GC #2,GC #2 Est./PM.,GC #3,GC #3 Est./PM.,GC #4,GC #4 Est./PM.,GC #5,GC #5 Est./PM.,EC #1, EC #1 $ ,EC #2, EC #2 $ ,EC #3, EC #3 $ ,EC #4, EC #4 $ ,EC #5, EC #5 $ ,EC #6, EC #6 $ ,Bid Results Comments
13-001,Hoag Irvine Blood Lab,Relocate Freezers & Refriderators,,Irvine,CA, 441 OC ,, Hospital , Negotiated , Design/ Assist , Jeff P. , Est. , CA ,9/12/2012," $7,300 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,Far West,John,,,,,,,,,,,,,,,,,,,,,,,
13-002,Ready At Dawn,Tenant Improvement,15201 Laguna Canyon Road,Irvine,CA, 441 OC ,, TI , Competitive , Engineered , Jody , Est. , CA ,9/4/2012," $446,000 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,Turelk,Earl Lund,,,,,,,,,,,,,,,,,,,,,,,
13-003,Mills Project,,,Reno,CA, 401 Reno ,, Specialty , Negotiated , Engineered , Jeff P. , Est. , NV ,11/16/2012,,,,,,,,,,,Lost,0%, $- ,,,,,,,Mortenson,,,,,,,,,,,,Cupertino,,,,,,,,,,,,"Briggs Bid $31,000000"
13-004,Cerritos College Gym - FA,FA TI,11110 Alondra Blvd,Cerritos,CA, 11 LA ,, Fire Alarm , Select Bid List , Engineered , Daniel , Est. , CA ,9/5/2012," $16,900 ",,,,,,,,,,Lost,0%, $- ,,,,,,,Simplex,Jim Wishnick,,,,,,,,,,,,,,,,,,,,,,,
13-005,Kaiser Cerritos,MOB TI,,Cerritos,CA, 11 LA ,, TI , Negotiated , Engineered , Jeff P. , Est. , CA ,9/5/2012,,,,,,,,,,,Lost,0%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-006,Innovation Lab & Mission Laguna Beach,TI,,Laguna Beach,CA, 441 OC ,, Hospital , Negotiated , Design/ Assist , Jeff P. , Est. , CA ,9/7/2012," $1,456,900 ",,,,,,,,,,Not Built,1%, $- ,,,,,,,,,Miles & Kelly,Kym,,,,,,,,,,,,,,,,,,,,,
13-007,Chevron FCC/Coker - Alky Hunter/Sulfur Acid,FA,32 W. El Segundo Blvd,El Segundo,CA, 11 LA ,, Fire Alarm , Negotiated , Engineered , Daniel , Est. , CA ,9/14/2012," $75,510 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,,Red Hawk,,,,,,,,,,,,,,,,,,,,,,,
13-008,Kaiser Tustin Ranch,,,Tustin,CA, 441 OC ,, TI , Select Bid List , Engineered , Jeff P. , Est. , CA ,9/18/2012," $3,370,212 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-009,Hoag Breast Center Renovation,,,Newport Beach,CA, 441 OC ,, TI , Competitive , Design/Build , Jeff P. , Est. , CA ,9/18/2012," $42,306 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,Questar,,,,,,,,,,,,,,,,,,,,,,
13-010,Space X Cafeteria,Tenant Improvement,1 Rocket Road,Hawthorne,CA, 11 LA ,, TI , Negotiated , Engineered , Frank , Est. , CA ,9/14/2012," $354,107 ",,,,,,,,,,Awarded,100%, $- ,,,,J-13-017,,,,,SpaceX,Bruce McHugh,,,,,,,,,,,,,,,,,,,,,
13-011,Saddleback Church San Clemente,,,San Clemente,CA, 441 OC ,, TI , Competitive , Engineered , Daniel , Est. , CA ,9/19/2012," $357,219 ",,,,,,,,,,Unknown,1%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-012,Mission Neuroschence Institution,Hospital TI,27700 Medical Center Road,Mission Viejo,CA, 441 OC ," 14,700 ", Hospital , Competitive , Engineered , Rudy , Est. , CA ,9/24/2012," $837,055 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,Miles & Kelly,,,,,,,,,,Berg," $802,700 ",Apollo," $839,380 ",,,,,,,,,
13-013,Providence Speech and Hearing,,,Orange,CA, 441 OC ,, TI , Negotiated , Design/Build , Frank , Est. , CA ,11/17/2012," $18,281 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,Questar,,Questar,,,,,,,,,,,,,,,,,,,,,,
13-014,Chet Holifield Federal Building,FA,,Orange,CA, 441 OC ,, Fire Alarm , Select Bid List , Engineered , Daniel , Est. , CA ,9/17/2012," $5,660 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,Simplex,,,,,,,,,,,,,,,,,,,,,,,,
13-015,AAA LA Emergency Feed to Chiller #3,Chiller Upgrade,2601 S. Figuera Street,Los Angeles,CA, 11 LA ,, Comercial , Negotiated , Design/Build , Frank , Est. , CA ,9/14/2012," $63,938 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,AAA,Jim Thys,,,,,,,,,,,,,,,,,,,,,
13-016,Thales 48 Discovery 1st Floor,Tenant Improvement,48 Discovery,Irvine,CA, 441 OC ,, TI , Competitive , Engineered , Frank , Est. , CA ,9/26/2012," $141,902 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,Turelk,Craig Powell,,,,,,,,,,,,,,,,,,,,,
13-017,Thales 48 Discovery 2nd Floor,Tenant Improvement,48 Discovery,Irvine,CA, 441 OC ,, TI , Competitive , Engineered , Frank , Est. , CA ,9/26/2012," $31,327 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,Turelk,Craig Powell,,,,,,,,,,,,,,,,,,,,,
13-018,Thales 58 Discovery ,Tenant Improvement,58 Discovery,Irvine,CA, 441 OC ,, TI , Competitive , Engineered , Frank , Est. , CA ,9/26/2012," $72,730 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,Turelk,Craig Powell,,,,,,,,,,,,,,,,,,,,,
13-019,Thales 51 Discovery Tenant Improvement,Tenant Improvement,51 Discovery,Irvine,CA, 441 OC ,, TI , Competitive , Engineered , Frank , Est. , CA ,9/26/2012," $186,643 ",,,,,,,,,,Awarded,100%, $- ,,,,J-13-021,,,,,Turelk,Craig Powell,,,,,,,,,,,,,,,,,,,,,
13-020,Pacifica / Prominade Condominiums Stave Restaurant,FA,200 E Broadway,Long Beach,CA, 11 LA ,, Fire Alarm , Select Bid List , Engineered , Daniel , Est. , CA ,10/1/2012," $5,200 ",,,,,,,,,,Lost,0%, $- ,,,,,,,Simplex,Samantha,,,,,,,,,,,,,,,,,,,,,,,
13-021,Long Beach CC Building CC Phys ED & Fitness,FA,1305 E Pacific Coast HighwayLong Beach,,CA, 11 LA ,, Fire Alarm , Select Bid List , Engineered , Daniel , Est. , CA ,10/1/2012," $4,190 ",,,,,,,,,,Lost,0%, $- ,,,,,,,Simplex,Samantha,,,,,,,,,,,,,,,,,,,,,,,
