Est. #,Project Name,Project Description,Street Address,City,State,Local,SQ. FT.,Project Type,Bid Type,Design Type,Estimator,DEPT,Div.,Bid Date, Base Bid , Cost SF ,Alt. #1,Alt #2,Alt. #3,Alt #4,Alt. #5,Alt #6,Overhead,Profit,MU $ Bid,Bid Status,Probability,Projection,Start Date,Comp. Date,Award Date,Job #,Contract $,MU $ Contract,GC Awarded,GC Awarded Est./PM.,GC #1,GC #1 Est./PM.,GC #2,GC #2 Est./PM.,GC #3,GC #3 Est./PM.,GC #4,GC #4 Est./PM.,GC #5,GC #5 Est./PM.,EC #1, EC #1 $ ,EC #2, EC #2 $ ,EC #3, EC #3 $ ,EC #4, EC #4 $ ,EC #5, EC #5 $ ,EC #6, EC #6 $ ,Bid Results Comments
18-001,Bbraun Big Warehouse Fans,Install power for Big Warehouse fans,2525 McGaw Ave,Irvine,CA, 441 OC ,, Comercial , Select Bid List , Engineered , Doyle , S.P. , CA ,9/11/2017," $62,284 ",," $19,000 "," $38,000 ", $550 ,,,,,,,Awarded,, $- ,,,,,,,,,Bbraun,Ron Danfield,,,,,,,,,,,,,,,,,,,,,
18-002,Pathway Capital,Tenant Improvement,"18691 Jamboree, 7th Floor",Irvine,CA, 441 OC ," 55,883 ", TI , Budget , Design/Build , Brian , Est. , CA ,1/17/2018," $1,426,898 ", $25.53 ,,,,,,,15.00%,5.00%,,Unknown,1%, $- ,,,,,,,,,Turelk,Mike Turi,HBC,Pete Cali,,,,,,,Accord,,landmark,,O'rBryant,,,,,,,,
18-003,Epson 5th floor conference room relamp,Relamp and dimmer ceiling cans,3840 Kilroy Airport Way,Long Beach,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/11/2017," $1,770 ",,,,,,,,,,,Awarded,, $- ,,,,,,,Epson,Irene Tice,Epson,Irene Tice,,,,,,,,,,,,,,,,,,,,,
18-004,Infineon Technology,Tenant Improvement / Furnt Restack,101 N. Sepulveda Blvd.,El Segundo,CA, 11 LA ,, TI , Budget , Design/Build , Frank , Est. , CA ,9/26/2017, $- ,,,,,,,,,,,Not Bid,30%, $- ,,,,,,,,,HBC,Craig Roalf,,,,,,,,,,,,,,,,,,,,,
18-005,Lido new AC for suite 531,New AC unit for suite 531,361 Hospital Rd #531,Newport Beach,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/12/2017," $2,997 ",,,,,,,,,,,Pending,25%, $749 ,,,,,,,,,Smartstop,Tim Karp,,,,,,,,,,,,,,,,,,,,,
18-006,Smartstop new outlets in office,New outlets in office TI work,10 Terrace,Ladera Ranch,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/12/2017," $1,310 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,Newport Lido,Debi Boler,,,,,,,,,,,,,,,,,,,,,
18-007,PIMCO GE buss switch replacement,Replace buss plug on 18th floor,650 Newport Center Dr. ,Newport Beach,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/12/2017," $33,960 ",,,,,,,,,,,Pending,10%," $3,396 ",,,,,,,,,PIMCO,Chris Scheirer,,,,,,,,,,,,,,,,,,,,,
18-008,Carrington lighting and outlets in office area,Add new accent lights and outlets,1600 S. Douglas,Anaheim,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/13/2017," $1,980 ",, $700 , $900 ," $1,100 "," $1,200 ", $455 ,,,,,Pending,10%, $198 ,,,,,,,,,Carrington,Clay Morgan,,,,,,,,,,,,,,,,,,,,,
18-009,Carrington power for car charger unit,New car charger power connection,1600 S. Douglas,Anaheim,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/13/2017," $4,477 ",," $1,100 "," $1,200 ",,,,,,,,Pending,10%, $448 ,,,,,,,,,Carrington,Clay Morgan,,,,,,,,,,,,,,,,,,,,,
18-010,Blizzard B15- Audit,Audit,16251 Laguna Canyon,Irvine,CA, 441 OC ,, TI , Negotiated , Engineered , Jeff S , P.M. , CA ,9/14/2017," $9,891 ",,,,,,,,,,,Awarded,90%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
