Est. #,Project Name,Project Description,Street Address,City,State,Local,SQ. FT.,Project Type,Bid Type,Design Type,Estimator,DEPT,Div.,Bid Date, Base Bid ,Alt. #1,Alt #2,Alt. #3,Alt #4,Alt. #5,Alt #6,Overhead,Profit,MU $ Bid,Bid Status,Probability,Projection,Start Date,Comp. Date,Award Date,Job #,Contract $,MU $ Contract,GC Awarded,GC Awarded Est./PM.,GC #1,GC #1 Est./PM.,GC #2,GC #2 Est./PM.,GC #3,GC #3 Est./PM.,GC #4,GC #4 Est./PM.,GC #5,GC #5 Est./PM.,EC #1, EC #1 $ ,EC #2, EC #2 $ ,EC #3, EC #3 $ ,EC #4, EC #4 $ ,EC #5, EC #5 $ ,EC #6, EC #6 $ ,Bid Results Comments
12-001,AEG Staples 2nd floor,Tenant Improvement,,Los Angeles,CA, 441 OC ,, TI , Competitive , Design/Build , Frank , Est. , CA ,9/1/2011," $119,440 ",,,,,,,,,,Lost,20%, $- ,,,,,,,,,Turelk,Geoff DeSena,,,,,,,,,,,,,,,,,,,,,
12-002,3880 Kilroy TI,Core Shell remodel with site work,3880 Kilroy,Long Beach ,CA, 11 LA ,, TI , Select Bid List , Engineered , Daniel , Est. , CA ,9/6/2011," $492,900 ",,,,,,,,,,Awarded,40%, $- ,,,,,,,Turelk,Christian Capper,Turelk,Christian Capper,,,,,,,,,,,,,,,,,,,,,
12-003,Cal Optima Garden Grove,TI of Adult Day Healthcare,13300 Garden Grove Blvd.,Garden Grove,CA, 441 OC ,, TI , Competitive , Engineered , Daniel , Est. , CA ,9/12/2011," $520,000 ",,,,,,,,,,Lost,5%, $- ,,,,,,,,,Roel,,KPRS,,,,,,,,,,,,,,,,,,,,
12-004,CVS / Pharmacy Distribution Facility,New distribution warehouse,1111 S Harbor,La Habra,CA, 441 OC ,, TI , Competitive , Engineered , Jody , Est. , CA ,9/20/2011," $1,899,000 ",,,,,,,,,,Lost,5%, $- ,,,,,,,,,Whiting Turner,Tushan Patel,PCL,Jay Talah,,,,,,,,,,,,,,,,,,,
12-005,18301 Von Karman Lobby Remodel,Tenant Improvement,18301 Von Karman,Irvine,CA, 441 OC ,, TI , Select Bid List , Engineered , Frank , Est. , CA ,9/2/2011," $10,324 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,Turelk,Craig Powell,Turelk,Craig Powell,,,,,,,,,,,,,,,,,,,,,
12-006,Thales Engineering Office Cube Renovation,Rework cube layout in two areas,58 Discovery,Irvine,CA, 441 OC ,, TI , Negotiated , Design/Build , Doyle , Est. , CA ,9/2/2011," $14,170 ",,,,,,,,,,Awarded,5%, $- ,,,,,,,,,Turelk,,,,,,,,,,,,,,,,,,,,,,
12-007,URM Tenant Improvement,Tenant Improvement,18301 Von Karman - 950,Irvine,CA, 441 OC ," 3,567 ", TI , Select Bid List , Engineered , Frank , Est. , CA ,9/12/2011," $37,389 ",,,,,,,,,,Lost,10%, $- ,,,,,,,,,Turelk,Craig Powell,KPRS,,2H Construction,,,,,,,,,,,,,,,,,,
12-008,Fortus/Faris Lee Demo,Tenant Improvement,18301 Von Karman - 8th Flr,Irvine,CA, 441 OC ," 19,911 ", TI , Select Bid List , Engineered , Frank , Est. , CA ,9/8/2011," $8,549 ",,,,,,,,,,Lost,10%, $- ,,,,,,,,,Turelk,Craig Powell,,,,,,,,,,,,,,,,,,,,,
12-009,Chevron Sowers Main Breaker,,,,CA, 441 OC ,, Site , Negotiated , Engineered , Doyle , Est. , CA ,9/16/2011," $13,760 ",,,,,,,,,,Awarded,90%, $- ,,,,,,,Chevron,Kent C.,Chevron,Kent C.,,,,,,,,,,,,,,,,,,,,,
12-010,UCLA - Care Connect,Tenant Improvement,936 Westwood Blvd - 290,Los Angeles,CA, 441 OC ," 8,399 ", TI , Competitive , Engineered , Frank , Est. , CA ,9/16/2011," $166,470 ",,,,,,,,,,Awarded,20%, $- ,,,,,,,,,Turelk,Jeff Turi,,,,,,,,,,,,,,,,,,,,,
12-011,Cytec Mixer Re-Arrangement Project,Equipment Relocation,,Orange,CA, 441 OC ,, Industrial , Select Bid List , Engineered , Frank , Est. , CA ,9/16/2012, $- ,,,,,,,,,,Not Bid,0%, $- ,,,,,,,,,United Rigers,Frank Spitzer,,,,,,,,,,,,,,,,,,,,,
12-012,Covidien / ev3 Neurovascular,Tenant Improvement,9775 Jeronimo Road,Irvine,CA, 441 OC ," 34,528 ", TI , Competitive , Engineered , Frank , Est. , CA ,9/21/2011," $152,634 ",,,,,,,,,,Lost,1%, $- ,,,,,,,,,CW Driver,A Borchman,Suffolk/Roel,Dan Nahabedian,Turelk,M. Ramirez,,,,,,,,,,,,,,,,,
12-013,Chapman floor outlets for Kennedy,New floor outlets for Kennedy,1 University Drive,Orange,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , Est. , CA ,9/19/2011," $16,800 ",,,,,,,,,,Unknown,1%, $- ,,,,,,,,,Chapman,Ed Blatchford,,,,,,,,,,,,,,,,,,,,,
12-014,Chapman IT Office AC circuits,New circuits for 2 A/C units,635 W Palm,Orange,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , Est. , CA ,9/19/2011," $5,000 ",,,,,,,,,,Not Built,1%, $- ,,,,,,,,,Chapman,Ed Blatchford,,,,,,,,,,,,,,,,,,,,,
12-015,Chapman Library LED recess can retrofit,"6"" Recess can retrofit to LED",1 University Drive,Orange,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , Est. , CA ,9/19/2011," $83,875 ",,,,,,,,,,Unknown,1%, $- ,,,,,,,,,Chapman,Ed Blatchford,,,,,,,,,,,,,,,,,,,,,
12-016,GSA 4000 Metropolitan - Orange,"2nd & 3rd Fl TI, Annex, BLDG, & Site Work",4000 Metropolitan,Orange,CA, 441 OC ,, TI , Competitive , Engineered , Daniel , Est. , CA ,10/6/2011," $2,485,700 ",,,,,,,,,,Lost,20%, $- ,,,,,,,Swinerton,Luis Giodano,Swinerton,Luis Giodano,,,,,,,,,,,,,,,,,,,,,5th of 6.  $250000 out.  10%
12-017,Hoag Hospital Irvine - Door Replacements,Modify for auto door and door replacement,Sand Canyon,Irvine,CA, 441 OC ,, Hospital , Select Bid List , Design/ Assist , Jody , Est. , CA ,11/4/2012," $25,220 ",,,,,,,,,,Awarded,80%, $- ,,,,,,,HB&A,Ryan Berry,HB&A,Ryan Berry,,,,,,,,,,,,,,,,,,,,,
12-018,Kaiser Downer Service Center Server Room Expansion,,,Downey,CA, 441 OC ,, Hospital , Select Bid List , Engineered , Jody , Est. , CA ,11/4/2012, $- ,,,,,,,,,,Not Bid,0%, $- ,,,,,,,,,Kaiser Construction,,,,,,,,,,,,,,,,,,,,,,
12-019,3M Dental EC Room Outlets,Tenant Improvement,2111 McGaw Avenue,Irvine,CA, 441 OC ,, TI , Negotiated , Design/Build , Frank , Est. , CA ,9/23/2011," $3,463 ",,,,,,,,,,Awarded,90%, $- ,,,,,,,United Rigers,Frank Spitzer,United Rigers,Frank Spitzer,,,,,,,,,,,,,,,,,,,,,
12-020,Providence Seismic Instrumentation,Add site seismic metering,,Los Angeles,CA, 11 LA ,, Hospital , Select Bid List , Design/ Assist , Doyle , Est. , CA ,1/23/2012," $203,306 ",,,,,,,,,,Lost,10%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-021,Braun Insertion Meter,Connect replacement insetion meter,2525 Mcgaw,Irvine,CA, 441 OC ,, Industrial , Negotiated , Design/Build , Doyle , Est. , CA ,8/26/2012," $1,500 ",,,,,,,,,,Unknown,10%, $- ,,,,,,,,,Trinity Process Solutions,Ricky Reed,,,,,,,,,,,,,,,,,,,,,
12-022,Pacific Life Employement Remodel,Tenant Improvement,700 Newport Center Drive,Newport Beach,CA, 441 OC ,, TI , Select Bid List , Engineered , Frank , Est. , CA ,9/30/2011," $21,770 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,Turelk,Earl Lund,Turelk,Earl Lund,,,,,,,,,,,,,,,,,,,,,
12-023,3M Dental Packaging Room ,Tenant Improvement,2111 McGaw Avenue,Irvine,CA, 441 OC ," 1,120 ", TI , Negotiated , Design/Build , Frank , Est. , CA ,9/27/2011," $8,166 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,United Rigers,Frank Spitzer,,,,,,,,,,,,,,,,,,,,,,,
12-024,Lido Basement corridor and lobby design,design for basement core ti area,351 Hospital Road,Newport Beach,CA, 441 OC ,, TI , Negotiated , Design/Build , Doyle , Est. , CA ,9/27/2011," $2,500 ",,,,,,,,,,Lost,50%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-025,Crystal Cathedral,Budget for OC Diocese,,Garden Grove,CA, 441 OC ,, Comercial , Budget , Engineered , Jeff P. , Est. , CA ,10/7/2011," $789,980 ",,,,,,,,,,Not Built,5%, $- ,,,,,,,,,HBC,Jim Scarpinato,,,,,,,,,,,,,,,,,,,,,
12-026,Bio Rad Phase 1A,Tenant Improvement,9500 Jeronimo Road,Irvine,CA, 441 OC ,, TI , Select Bid List , Engineered , Frank , Est. , CA ,10/4/2011," $205,263 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,HBC,Jim Scarpinato,HBC,Jim Scarpinato,,,,,,,,,,,,,,,,,,,,,
12-027,Chapman new roof panel for Moulton,New panel for Moulton,1 University Drive,Orange,CA, 441 OC ,, TI , Negotiated , Design/Build , Doyle , Est. , CA ,9/30/2011," $4,404 ",,,,,,,,,,Unknown,1%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-028,Chapman Relamp Memorial Auditorium,Relamp incandescent Fixtures Memorial,1 University Drive,Orange,CA, 441 OC ,, TI , Negotiated , Design/Build , Doyle , Est. , CA ,9/30/2011," $4,795 ",,,,,,,,,,Unknown,1%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-029,Chapman Move PA Rack in Hutton,Relocate PA Rack in Hutton Elect room,1 University Drive,Orange,CA, 441 OC ,, TI , Negotiated , Design/Build , Doyle , Est. , CA ,9/30/2011," $2,850 ",,,,,,,,,,Unknown,1%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-030,Chapman Fluke Training,Training Options for Power Analyzer,1 University Drive,Orange,CA, 441 OC ,, TI , Negotiated , Design/Build , Doyle , Est. , CA ,9/30/2011," $5,000 ",,,,,,,,,,Not Built,5%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-031,Hoag Hospital HVI - Site Improvements Project,Site work at south entry,1 Hoag Drive,Newport Beach,CA, 441 OC ,, Hospital , Competitive , Engineered , Daniel , Est. , CA ,3/22/2012," $190,110 ",,,,,,,,,,Lost,5%, $- ,,,,,,,,,CW Driver,,DPR,,Questar,,Milly & Serverson,,,,,,,,,,,,,,,,
12-032,3M Dental Opulent Oven Outlets,Provide 220V power to ovens,2111 McGaw Avenue,Irvine,CA, 441 OC ,, TI , Negotiated , Design/Build , Frank , Est. , CA ,10/4/2011," $1,348 ",,,,,,,,,,Not Built,10%, $- ,,,,,,,United Rigers,Frank Spitzer,,,,,,,,,,,,,,,,,,,,,,,
