Est. #,Project Name,Project Description,Street Address,City,State,Local,SQ. FT.,Project Type,Bid Type,Design Type,Estimator,DEPT,Div.,Bid Date, Base Bid ,Alt. #1,Alt #2,Alt. #3,Alt #4,Alt. #5,Alt #6,Overhead,Profit,MU $ Bid,Bid Status,Probability,Projection,Start Date,Comp. Date,Award Date,Job #,Contract $,MU $ Contract,GC Awarded,GC Awarded Est./PM.,GC #1,GC #1 Est./PM.,GC #2,GC #2 Est./PM.,GC #3,GC #3 Est./PM.,GC #4,GC #4 Est./PM.,GC #5,GC #5 Est./PM.,EC #1, EC #1 $ ,EC #2, EC #2 $ ,EC #3, EC #3 $ ,EC #4, EC #4 $ ,EC #5, EC #5 $ ,EC #6, EC #6 $ ,Bid Results Comments
10-001,SJMC Plaza II Site Improvements,,Laguna Road,Fullerton ,CA, 441 OC ,, Site , Select Bid List , Engineered , Rudy , Est. , CA ,9/4/2009," $41,230 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,McCarthy,Allen Lynn,McCarthy,Allen Lynn,,,,,,,,,,,,,,,,,,,,,
10-002,B. Braun Viral Segregation,Clean Room Remodel,4501 Colorado Blvd,Los Angeles,CA, 441 OC ," 4,000 ", Industrial , Select Bid List , Engineered , Frank , Est. , CA ,9/4/2009," $141,095 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,,,Vertical,John Borden,,,,,,,,,,,,,,,,,,,,,
10-003,Murrieta Education Center,5 story core & shell,Monroe Ave,Murrieta,CA, 440 RS ," 177,863 ", Shell , Competitive , Engineered , Rudy , Est. , CA ,9/30/2009," $1,432,619 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,Snyder Langston,Kelly Eliason,Swinerton,Dennis Hern,,,,,,,,,,,,,,,,,,,
10-004,Chapman Hashinger MCC,Replace MCC in Hashinger,1 University Drive,Orange,CA, 441 OC ,, Comercial , Select Bid List , Design/Build , Doyle , Est. , CA ,9/14/2009," $68,920 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,Chapman,Ed Blatchford,Chapman,Ed Blatchford,,,,,,,,,,,,,,,,,,,,,
10-005,Tenet Healthcare,,1400 S. Douglass Rd,Anaheim,CA, 441 OC ,, TI , Competitive , Engineered , Jody , Est. , CA ,9/17/2009," $63,100 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,HBC,Pete Cali,,,,,,,,,,,,,,,,,,,,,
10-006,Hoag Sand Cnayon Fire Alarm Conduit,Raceways and backboxes,16200 Sand Canyon,Irvne,CA, 441 OC ,, TI , Competitive , Engineered , Doyle , Est. , CA ,9/18/2009," $442,735 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,Detection Logic,Dale Rask,Detection Logic,Dale Rask,,,,,,,,,,,,,,,,,,,,,
10-007,SCE AGOC,"Replace Service, Gen, UPS & Gear",,Alhambra,CA, 11 LA ,, Specialty , Competitive , Design/Build , Frank , Est. , CA ,9/21/2009," $1,498,950 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,KPRS,Assaf,Syska,John,,,,,,,,,,,,,,,,,,,
10-008,Ernst & Young,Office TI,,,CA, 441 OC ,, TI , Competitive , Engineered , Doyle , Est. , CA ,,,,,,,,,,,,Not Bid,0%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-009,Northrop Grumman 10K Clean Room,TI for new 10K clean room,1100 W. Hollyvale Street,Azusa,CA, 11 LA ," 2,800 ", TI , Competitive , Engineered , Rudy , Est. , CA ,10/12/2009," $195,040 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,EnCon1,Shelly Love,,,,,,,,,,,,,,,,,,,,,
10-010,Garland Bldg. Technology Upgrade,TI for new Technology Meet-ME-Room,1200 So. 7th Street,Los Angeles,CA, 11 LA ,, TI , Select Bid List , Engineered , Frank , Est. , CA ,9/28/2009," $611,678 ",,,,,,,,,,Not Built,0%, $- ,,,,,,,,,Syska,John Perez,,,,,,,,,,,,,,,,,,,,,
